Day,Date,Event,Time,Team,Note,IsJunior
Sun,3/18/18,Winter Fun Sailing,1100,,,
Sat,3/24/18,New Members Induction,1100,,,
Sun,3/25/18,BST STARTS - CLOCKS FORWARD 1 HOUR,,,,
Sun,3/25/18,Boat move and beach clean,1100,,,
Sat,3/31/18,The Opener,1400,3,,
Sun,4/1/18,Spring Series 1 of 10 - Spring Berthing starts,1100,4,,
Tue,4/3/18,Adult Training 1,1800,,,
Thu,4/5/18,Spring Evening Series 1 of 10,1830,D,,
Sat,4/7/18,Junior Training 1,0830,,,1
Sun,4/8/18,Spring Series 2 of 10,1100,5,,
Tue,4/10/18,Adult Training 2,1800,,,
Thu,4/12/18,Spring Evening Series 2 of 10,1830,E,,
Sat ,4/14/18,Junior Training 2,0830,,,1
Sun,4/15/18,Spring Series 3 of 10,1100,6,,
Tue,4/17/18,Adult Training 3,1800,,,
Thu,4/19/18,Spring Evening Series 3 of 10,1830,F,,
Sat,4/21/18,Junior Training 3,0830,,,1
Sun,4/22/18,Spring Series 4 of 10,1100,7,,
Tue,4/24/18,Adult Training 4,1800,,,
Thu,4/26/18,Spring Evening Series 4 of 10,1830,A,,
Sat,4/28/18,Junior Training 4,0830,,,1
Sun,4/29/18,Spring Series 5 of 10,1100,8,,
Tue,5/1/18,Adult Training 5,1800,,,
Thu,5/3/18,Spring Evening Series 5 of 10,1830,H,,
Sat,5/5/18,Junior Training 5,0830,,,1
Sat,5/5/18,Elizabeth Cup - Bournemouth ,1400,9,,
Sun,5/6/18,Spring Series 6 of 10,1100,2,,
Tue,5/8/18,Adult Training 6,1800,,,
Thu,5/10/18,Spring Evening Series 6 of 10,1830,J,,
Sat,5/12/18,Junior Training 6,0830,,,1
Sat,5/12/18,James Day Cup - Club's Anniversary,1400,1,,
Sun,5/13/18,Spring Series 7 of 10,1100,3,,
Tue,5/15/18,Adult Training 7,1800,,,
Thu,5/17/18,Spring Evening Series 7 of 10 - LATER START,1900,G,,
Sat,5/19/18,Junior Training 7,0830,,,1
Sun,5/20/18,Spring Series 8 of 10,1100,4,Kayak Fishing ,
Tue,5/22/18,Adult Training 8,1800,,,
Thu,5/24/18,Spring Evening Series 8 of 10,1900,B,,
Sat,5/26/18,Junior Training 8 ,0830,,,1
Sun,5/27/18,1974 Cup - 2 races on a BH weekend,1100,5,,
Mon ,5/28/18,1974 Cup - 1 race  - continued,1100,6,,
Tue,5/29/18,Adult Training 9,1800,,,
Thu,5/31/18,Spring Evening Series 9 of 10,1900,C,,
Sat,6/2/18,Junior Training 9,0830,,,1
Sat,6/2/18,Coronation Cup - to mark the Coronation,1400,7,,
Sun,6/3/18,Spring Series 9 of 10,1100,8,,
Tue,6/5/18,Adult Training 10,1800,,,
Thu,6/7/18,Spring Evening Series 10 of 10,1900,D,,
Sat,6/9/18,Junior Training 10,0830,,,1
Sat,6/9/18,Cruise to Studland Middle Beach,1030,,,
Sun,6/10/18,Spring Series 10 of 10 ,1100,9,,
Tue,6/12/18,Adult Training 11,1800,,,
Thu,6/14/18,Summer Evening Series 1 of  7,1900,E,,
Sat,6/16/18,Junior Training 11,0830,,,1
Sat,6/17/18,Family Watersports and Summer Disco,TBA,,,1
Sun,6/17/18,Summer Series 1 of 7  & Owerdale over 60s,1100,1,,
Tue,6/19/18,Adult Training 12,1800,,,
Thu,6/21/18,Summer Evening Series 2 of  7,1900,F,,
Sat,6/23/18,Junior Training 12,0830,,,1
