Day,Date,Event,Start ,Team,Is Junior?,Note
Sat ,24/03/2018,New Members Induction,1100,,,
Sun,25/03/2018,BST STARTS - CLOCKS FORWARD 1 HOUR,,,,
Sun,25/03/2018,Boat move and beach clean,1100,,,
Sat,31/03/2018,The Opener,1400,3,,
Sun,01/04/2018,Spring Series 1 of 10 - Spring Berthing starts,1100,4,,
Tue,03/04/2018,Adult Training 1,1800,,,
Thu,05/04/2018,Spring Evening Series 1 of 10,1830,D,,
Sat,07/04/2018,Junior Training 1,0830,,1,
Sun,08/04/2018,Spring Series 2 of 10,1100,5,,
Tue,10/04/2018,Adult Training 2,1800,,,
Thu,12/04/2018,Spring Evening Series 2 of 10,1830,E,,
Sat ,14/04/2018,Junior Training 2,0830,,1,
Sun,15/04/2018,Spring Series 3 of 10,1100,6,,
Tue,17/04/2018,Adult Training 3,1800,,,
Thu,19/04/2018,Spring Evening Series 3 of 10,1830,F,,
Sat,21/04/2018,Junior Training 3,0830,,1,
Sun,22/04/2018,Spring Series 4 of 10,1100,7,,
Tue,24/04/2018,Adult Training 4,1800,,,
Thu,26/04/2018,Spring Evening Series 4 of 10,1830,A,,
Sat,28/04/2018,Junior Training 4,0830,,1,
Sun,29/04/2018,Spring Series 5 of 10,1100,8,,
Tue,01/05/2018,Adult Training 5,1800,,,
Thu,03/05/2018,Spring Evening Series 5 of 10,1830,H,,
Sat,05/05/2018,Junior Training 5,0830,,1,
Sat,05/05/2018,Elizabeth Cup - Bournemouth ,1400,9,,
Sun,06/05/2018,Spring Series 6 of 10,1100,2,,
Tue,08/05/2018,Adult Training 6,1800,,,
Thu,10/05/2018,Spring Evening Series 6 of 10,1830,J,,
Sat,12/05/2018,Junior Training 6,0830,,1,
Sat,12/05/2018,James Day Cup - Club's Anniversary,1400,1,,
Sun,13/05/2018,Spring Series 7 of 10,1100,3,,
Tue,15/05/2018,Adult Training 7,1800,,,
Thu,17/05/2018,Spring Evening Series 7 of 10 - LATER START,1900,G, ,
